Source File;Source Line;CPU Time;CPU Time:Effective Time;CPU Time:Spin Time;CPU Time:Overhead Time
malloc.c;3347;0.090998;0.090998;0.0;0.0
sql_base.cc;1073;0.090009;0.090009;0.0;0.0
buf0buf.cc;2737;0.090002;0.090002;0.0;0.0
sql_class.cc;459;0.090001;0.090001;0.0;0.0
buf0buf.cc;2738;0.090001;0.090001;0.0;0.0
sql_base.cc;8363;0.090001;0.090001;0.0;0.0
psi_noop.c;170;0.090001;0.090001;0.0;0.0
ha_innodb.cc;9320;0.090001;0.090001;0.0;0.0
ha_innodb.cc;5338;0.090000;0.090000;0.0;0.0
handler.cc;6445;0.090000;0.090000;0.0;0.0
lock.cc;379;0.090000;0.090000;0.0;0.0
mysql_thread.h;785;0.090000;0.090000;0.0;0.0
srw_lock.cc;253;0.090000;0.090000;0.0;0.0
syscall.S;42;0.090000;0.090000;0.0;0.0
trx0purge.cc;1009;0.090000;0.090000;0.0;0.0
page0cur.cc;643;0.090000;0.090000;0.0;0.0
item_func.cc;418;0.090000;0.090000;0.0;0.0
lf_hash.cc;111;0.090000;0.090000;0.0;0.0
lf_hash.cc;298;0.090000;0.090000;0.0;0.0
page0cur.cc;923;0.089999;0.089999;0.0;0.0
sql_base.cc;9165;0.089999;0.089999;0.0;0.0
sql_prepare.cc;968;0.089999;0.089999;0.0;0.0
sql_parse.cc;3510;0.089999;0.089999;0.0;0.0
page0page.h;663;0.089999;0.089999;0.0;0.0
item_cmpfunc.h;574;0.089999;0.089999;0.0;0.0
buf0buf.cc;2932;0.089999;0.089999;0.0;0.0
rem0rec.inl;654;0.089999;0.089999;0.0;0.0
sql_select.cc;17864;0.089999;0.089999;0.0;0.0
crc32c_amd64.cc;149;0.089998;0.089998;0.0;0.0
ha_innodb.cc;7337;0.089998;0.089998;0.0;0.0
pthread_mutex_lock.c;115;0.089998;0.089998;0.0;0.0
sql_class.h;5294;0.089998;0.089998;0.0;0.0
ha_innodb.cc;7340;0.089998;0.089998;0.0;0.0
array.c;48;0.089998;0.089998;0.0;0.0
sql_prepare.cc;354;0.089998;0.089998;0.0;0.0
my_malloc.c;71;0.089998;0.089998;0.0;0.0
sql_parse.cc;1659;0.089996;0.089996;0.0;0.0
mem0mem.cc;383;0.089996;0.089996;0.0;0.0
sql_base.cc;9390;0.089995;0.089995;0.0;0.0
buf0flu.cc;2384;0.089995;0.089995;0.0;0.0
my_alloc.c;360;0.089992;0.089992;0.0;0.0
mysqld.cc;742;0.089001;0.089001;0.0;0.0
sql_base.cc;1037;0.089001;0.089001;0.0;0.0
sql_list.h;438;0.088999;0.088999;0.0;0.0
rem0rec.cc;408;0.088998;0.088998;0.0;0.0
sql_class.cc;4413;0.088996;0.088996;0.0;0.0
sql_base.cc;4686;0.088995;0.088995;0.0;0.0
item.cc;4773;0.088994;0.088994;0.0;0.0
crc32c_amd64.cc;630;0.081998;0.081998;0.0;0.0
field.h;1321;0.081007;0.081007;0.0;0.0
sql_class.h;3505;0.081002;0.081002;0.0;0.0
sql_select.cc;29957;0.081001;0.081001;0.0;0.0
sql_type.cc;1604;0.081000;0.081000;0.0;0.0
field.h;1547;0.081000;0.081000;0.0;0.0
ha_innodb.cc;5217;0.080999;0.080999;0.0;0.0
mysql_thread.h;745;0.080999;0.080999;0.0;0.0
sql_parse.cc;1684;0.080998;0.080998;0.0;0.0
my_alloc.c;518;0.080997;0.080997;0.0;0.0
item.cc;587;0.080982;0.080982;0.0;0.0
net_serv.cc;412;0.080004;0.080004;0.0;0.0
page0cur.cc;457;0.080002;0.080002;0.0;0.0
rem0rec.cc;938;0.080002;0.080002;0.0;0.0
sql_select.cc;26093;0.080001;0.080001;0.0;0.0
sql_error.h;1063;0.080001;0.080001;0.0;0.0
field.h;2704;0.080000;0.080000;0.0;0.0
sql_explain.cc;1767;0.080000;0.080000;0.0;0.0
viosocket.c;178;0.080000;0.080000;0.0;0.0
btr0cur.cc;1550;0.080000;0.080000;0.0;0.0
item_func.cc;1203;0.080000;0.080000;0.0;0.0
sql_class.h;4911;0.080000;0.080000;0.0;0.0
handler.cc;6524;0.080000;0.080000;0.0;0.0
condition_variable;167;0.080000;0.080000;0.0;0.0
small_vector.h;37;0.080000;0.080000;0.0;0.0
strcmp-avx2.S;289;0.080000;0.080000;0.0;0.0
pthread_getspecific.c;24;0.080000;0.080000;0.0;0.0
sql_type.cc;1938;0.079999;0.079999;0.0;0.0
item.cc;7495;0.079999;0.079999;0.0;0.0
rem0rec.inl;240;0.079999;0.079999;0.0;0.0
buf0types.h;137;0.079999;0.079999;0.0;0.0
mtr0log.h;243;0.079999;0.079999;0.0;0.0
field.cc;7812;0.079999;0.079999;0.0;0.0
sql_union.cc;2734;0.079999;0.079999;0.0;0.0
sql_bitmap.h;78;0.079999;0.079999;0.0;0.0
mdl.cc;476;0.079999;0.079999;0.0;0.0
my_thr_init.c;369;0.079999;0.079999;0.0;0.0
sql_parse.cc;6127;0.079999;0.079999;0.0;0.0
opt_rewrite_remove_casefold.cc;127;0.079999;0.079999;0.0;0.0
ha_innodb.cc;4758;0.079999;0.079999;0.0;0.0
handler.cc;2096;0.079999;0.079999;0.0;0.0
sql_prepare.cc;5481;0.079998;0.079998;0.0;0.0
field.h;1503;0.079998;0.079998;0.0;0.0
sql_base.cc;5190;0.079998;0.079998;0.0;0.0
sql_select.cc;1943;0.079998;0.079998;0.0;0.0
ha_innodb.cc;16771;0.079998;0.079998;0.0;0.0
mysql_mdl.h;113;0.079998;0.079998;0.0;0.0
sql_class.cc;4402;0.079997;0.079997;0.0;0.0
ha_innodb.cc;8713;0.079997;0.079997;0.0;0.0
memmove-vec-unaligned-erms.S;429;0.079996;0.079996;0.0;0.0
sql_select.cc;35016;0.079996;0.079996;0.0;0.0
ha_innodb.cc;16621;0.079996;0.079996;0.0;0.0
handler.cc;5730;0.079995;0.079995;0.0;0.0
mem0mem.cc;258;0.079995;0.079995;0.0;0.0
mtr0mtr.cc;535;0.079994;0.079994;0.0;0.0
buf0lru.cc;719;0.079994;0.079994;0.0;0.0
sql_class.cc;4411;0.079993;0.079993;0.0;0.0
handler.h;2194;0.079002;0.079002;0.0;0.0
rem0cmp.cc;207;0.079002;0.079002;0.0;0.0
item.h;4565;0.079001;0.079001;0.0;0.0
item.cc;11833;0.079000;0.079000;0.0;0.0
lf_hash.cc;304;0.078999;0.078999;0.0;0.0
opt_vcol_substitution.cc;136;0.078998;0.078998;0.0;0.0
field.cc;2621;0.078998;0.078998;0.0;0.0
item_func.cc;425;0.078998;0.078998;0.0;0.0
field.h;1198;0.078998;0.078998;0.0;0.0
item.cc;3770;0.077999;0.077999;0.0;0.0
page0cur.cc;185;0.077999;0.077999;0.0;0.0
sql_explain.cc;56;0.077995;0.077995;0.0;0.0
item_cmpfunc.h;660;0.071000;0.071000;0.0;0.0
ctype-utf8.c;3015;0.071000;0.071000;0.0;0.0
row0sel.cc;2985;0.070999;0.070999;0.0;0.0
memset-vec-unaligned-erms.S;199;0.070998;0.070998;0.0;0.0
dict0dict.inl;273;0.070003;0.070003;0.0;0.0
rem0rec.cc;1469;0.070002;0.070002;0.0;0.0
arena.c;151;0.070001;0.070001;0.0;0.0
sql_select.cc;13462;0.070001;0.070001;0.0;0.0
mtr0log.h;86;0.070001;0.070001;0.0;0.0
cset_narrowing.h;83;0.070001;0.070001;0.0;0.0
ha_innodb.cc;7239;0.070001;0.070001;0.0;0.0
srw_lock.h;162;0.070001;0.070001;0.0;0.0
rem0rec.inl;221;0.070001;0.070001;0.0;0.0
sql_select.cc;13142;0.070001;0.070001;0.0;0.0
viosocket.c;982;0.070000;0.070000;0.0;0.0
memmove-vec-unaligned-erms.S;332;0.070000;0.070000;0.0;0.0
item_cmpfunc.cc;421;0.070000;0.070000;0.0;0.0
my_malloc.c;193;0.070000;0.070000;0.0;0.0
row0sel.cc;4579;0.070000;0.070000;0.0;0.0
dict0dict.inl;65;0.070000;0.070000;0.0;0.0
log0log.cc;2014;0.070000;0.070000;0.0;0.0
small_vector.h;97;0.070000;0.070000;0.0;0.0
viosocket.c;255;0.070000;0.070000;0.0;0.0
row0upd.cc;1018;0.069999;0.069999;0.0;0.0
field.cc;962;0.069999;0.069999;0.0;0.0
sql_string.h;263;0.069999;0.069999;0.0;0.0
buf0buf.cc;2913;0.069999;0.069999;0.0;0.0
btr0cur.cc;1268;0.069999;0.069999;0.0;0.0
poll2.h;44;0.069999;0.069999;0.0;0.0
ha_innodb.cc;7225;0.069999;0.069999;0.0;0.0
sql_lex.cc;6324;0.069999;0.069999;0.0;0.0
item.h;3930;0.069999;0.069999;0.0;0.0
sql_select.cc;968;0.069999;0.069999;0.0;0.0
srw_lock.cc;134;0.069999;0.069999;0.0;0.0
sql_select.cc;1201;0.069999;0.069999;0.0;0.0
rem0rec.cc;1119;0.069999;0.069999;0.0;0.0
temporary_tables.cc;45;0.069999;0.069999;0.0;0.0
opt_range.cc;7942;0.069999;0.069999;0.0;0.0
sql_prepare.cc;386;0.069999;0.069999;0.0;0.0
sql_parse.cc;3770;0.069999;0.069999;0.0;0.0
sql_prepare.cc;617;0.069998;0.069998;0.0;0.0
ut0new.h;337;0.069998;0.069998;0.0;0.0
sql_base.cc;4776;0.069998;0.069998;0.0;0.0
net_serv.cc;572;0.069998;0.069998;0.0;0.0
handler.cc;8044;0.069998;0.069998;0.0;0.0
sql_lex.cc;4418;0.069997;0.069997;0.0;0.0
ha_innodb.cc;7741;0.069997;0.069997;0.0;0.0
sql_limit.h;44;0.069997;0.069997;0.0;0.0
sql_select.cc;34955;0.069996;0.069996;0.0;0.0
data0data.h;604;0.069995;0.069995;0.0;0.0
records.cc;184;0.069993;0.069993;0.0;0.0
lf_hash.cc;125;0.069001;0.069001;0.0;0.0
lf_hash.cc;162;0.069000;0.069000;0.0;0.0
opt_range.cc;12474;0.068999;0.068999;0.0;0.0
buf0buf.cc;2704;0.068999;0.068999;0.0;0.0
sql_update.cc;353;0.068999;0.068999;0.0;0.0
page0page.h;664;0.068999;0.068999;0.0;0.0
table_cache.cc;857;0.068998;0.068998;0.0;0.0
item.cc;4932;0.068998;0.068998;0.0;0.0
sql_base.cc;8344;0.067999;0.067999;0.0;0.0
table.cc;3980;0.067998;0.067998;0.0;0.0
net_serv.cc;891;0.067997;0.067997;0.0;0.0
sql_string.h;315;0.063001;0.063001;0.0;0.0
pthread_mutex_lock.c;126;0.062014;0.062014;0.0;0.0
strcoll.inl;149;0.061999;0.061999;0.0;0.0
field.h;1503;0.061002;0.061002;0.0;0.0
memmove-vec-unaligned-erms.S;464;0.061001;0.061001;0.0;0.0
rem0rec.cc;688;0.061001;0.061001;0.0;0.0
sql_base.cc;7013;0.061000;0.061000;0.0;0.0
lock.cc;472;0.060999;0.060999;0.0;0.0
opt_range.cc;12706;0.060999;0.060999;0.0;0.0
opt_range.cc;14786;0.060999;0.060999;0.0;0.0
mysql_transaction.h;139;0.060999;0.060999;0.0;0.0
small_vector.h;55;0.060998;0.060998;0.0;0.0
row0upd.cc;2537;0.060998;0.060998;0.0;0.0
mysqld.cc;3811;0.060998;0.060998;0.0;0.0
net_serv.cc;1029;0.060997;0.060997;0.0;0.0
atomic_base.h;501;0.060004;0.060004;0.0;0.0
dict0dict.cc;3877;0.060003;0.060003;0.0;0.0
dict0mem.h;2171;0.060002;0.060002;0.0;0.0
sql_type.cc;1778;0.060001;0.060001;0.0;0.0
ctype-ascii.h;110;0.060001;0.060001;0.0;0.0
mtr0mtr.cc;1087;0.060001;0.060001;0.0;0.0
row0row.cc;369;0.060001;0.060001;0.0;0.0
crc32c_amd64.cc;717;0.060001;0.060001;0.0;0.0
sql_update.h;74;0.060001;0.060001;0.0;0.0
page0cur.cc;68;0.060001;0.060001;0.0;0.0
dict0mem.h;1398;0.060001;0.060001;0.0;0.0
my_bitmap.c;201;0.060001;0.060001;0.0;0.0
malloc.c;3353;0.060001;0.060001;0.0;0.0
item.h;2932;0.060001;0.060001;0.0;0.0
mysql_socket.h;850;0.060001;0.060001;0.0;0.0
item.h;1995;0.060001;0.060001;0.0;0.0
sql_select.cc;21336;0.060001;0.060001;0.0;0.0
handler.h;4387;0.060001;0.060001;0.0;0.0
handler.h;4392;0.060000;0.060000;0.0;0.0
item.h;4522;0.060000;0.060000;0.0;0.0
small_vector.h;100;0.060000;0.060000;0.0;0.0
memmove-vec-unaligned-erms.S;255;0.060000;0.060000;0.0;0.0
pfs.cc;2540;0.060000;0.060000;0.0;0.0
opt_subselect.cc;5938;0.060000;0.060000;0.0;0.0
sql_type.cc;207;0.060000;0.060000;0.0;0.0
ha_innodb.cc;4711;0.060000;0.060000;0.0;0.0
rem0rec.cc;907;0.060000;0.060000;0.0;0.0
ha_innodb.cc;1809;0.060000;0.060000;0.0;0.0
memmove-vec-unaligned-erms.S;325;0.060000;0.060000;0.0;0.0
hash.c;234;0.060000;0.060000;0.0;0.0
opt_context_store_replay.cc;1680;0.060000;0.060000;0.0;0.0
stl_algobase.h;239;0.060000;0.060000;0.0;0.0
sql_acl.cc;9944;0.060000;0.060000;0.0;0.0
buf0buf.cc;2781;0.060000;0.060000;0.0;0.0
dict0dict.inl;167;0.060000;0.060000;0.0;0.0
field.h;2689;0.060000;0.060000;0.0;0.0
futex-internal.h;189;0.060000;0.060000;0.0;0.0
ha_innodb.cc;1810;0.060000;0.060000;0.0;0.0
page0cur.cc;585;0.060000;0.060000;0.0;0.0
rem0rec.inl;651;0.060000;0.060000;0.0;0.0
rem0rec.inl;437;0.060000;0.060000;0.0;0.0
btr0cur.cc;2184;0.060000;0.060000;0.0;0.0
ha_innodb.cc;15263;0.060000;0.060000;0.0;0.0
sql_base.cc;4694;0.060000;0.060000;0.0;0.0
srw_lock.cc;253;0.060000;0.060000;0.0;0.0
sql_list.h;154;0.060000;0.060000;0.0;0.0
page0cur.cc;814;0.060000;0.060000;0.0;0.0
rem0rec.cc;1535;0.060000;0.060000;0.0;0.0
sql_plugin.cc;3262;0.060000;0.060000;0.0;0.0
field.h;1199;0.060000;0.060000;0.0;0.0
opt_range.cc;1253;0.060000;0.060000;0.0;0.0
sql_lex.cc;5305;0.060000;0.060000;0.0;0.0
mtr0mtr.cc;522;0.060000;0.060000;0.0;0.0
sql_base.cc;2296;0.060000;0.060000;0.0;0.0
buf0lru.cc;686;0.060000;0.060000;0.0;0.0
page0cur.cc;173;0.060000;0.060000;0.0;0.0
dict0dict.h;669;0.060000;0.060000;0.0;0.0
page0cur.cc;1567;0.060000;0.060000;0.0;0.0
item.h;2634;0.060000;0.060000;0.0;0.0
sql_class.cc;1019;0.059999;0.059999;0.0;0.0
sql_union.cc;2770;0.059999;0.059999;0.0;0.0
thr_rwlock.c;127;0.059999;0.059999;0.0;0.0
sql_base.cc;9830;0.059999;0.059999;0.0;0.0
sql_window.cc;206;0.059999;0.059999;0.0;0.0
sql_union.cc;2820;0.059999;0.059999;0.0;0.0
